The domain model 'p' describes the core structural elements and their relationships within the system.

The model defines 4 main class(es).

'p_append' represents an important domain concept.
It does not declare any attributes.

'p_ThisClassWasFirst' represents an important domain concept.
It does not declare any attributes.

'p_ThisClassWasLast' represents an important domain concept.
It does not declare any attributes.

'p_ThisClassWasMiddle' represents an important domain concept.
It does not declare any attributes.
