The domain model 'Janus' describes the core structural elements and their relationships within the system.

The model defines 160 main class(es).

'Janus_essentialocl_CollectionType' represents an important domain concept.
It does not declare any attributes.

'emof_Type' represents an important domain concept.
It does not declare any attributes.

'Janus_essentialocl_EnumLiteralExp' represents an important domain concept.
It does not declare any attributes.

'Janus_JTL_Model' represents an important domain concept.
It does not declare any attributes.

'Janus_essentialocl_BooleanLiteralExp' represents an important domain concept.
It has one attribute: 'booleanSymbol', which is of type bool.

'Janus_JTL_Predicate' represents an important domain concept.
It does not declare any attributes.

'Janus_essentialocl_ExpressionInOcl' represents an important domain concept.
It does not declare any attributes.

'NumericLiteralExp' represents an important domain concept.
It does not declare any attributes.

'Janus_imperativeocl_ContinueExp' represents an important domain concept.
It does not declare any attributes.

'Janus_imperativeocl_AltExp' represents an important domain concept.
It does not declare any attributes.

'Predicate' represents an important domain concept.
It does not declare any attributes.

'PropertyTemplateItem' represents an important domain concept.
It does not declare any attributes.

'Janus_essentialocl_IfExp' represents an important domain concept.
It does not declare any attributes.

'Janus_imperativeocl_UnlinkExp' represents an important domain concept.
It does not declare any attributes.

'Janus_imperativeocl_BreakExp' represents an important domain concept.
It does not declare any attributes.

'Janus_essentialocl_InvalidType' represents an important domain concept.
It does not declare any attributes.

'Janus_emof_DataType' represents an important domain concept.
It does not declare any attributes.

'NamedElement' represents an important domain concept.
It does not declare any attributes.

'Janus_imperativeocl_DictLiteralPart' represents an important domain concept.
It does not declare any attributes.

'Relation' represents an important domain concept.
It does not declare any attributes.

'Janus_imperativeocl_TupleExp' represents an important domain concept.
It does not declare any attributes.

'Parameter' represents an important domain concept.
It does not declare any attributes.

'Janus_imperativeocl_ImperativeLoopExp' represents an important domain concept.
It does not declare any attributes.

'Janus_emof_PrimitiveType' represents an important domain concept.
It does not declare any attributes.

'Janus_emof_Object' represents an important domain concept.
It does not declare any attributes.

'emof_TypedElement' represents an important domain concept.
It does not declare any attributes.

'LoopExp' represents an important domain concept.
It does not declare any attributes.

'Extent' represents an important domain concept.
It does not declare any attributes.

'Janus_emof_MultiplicityElement' represents an important domain concept.
