Dataset Split Report
====================
Dataset directory : /Users/kristian/Shrinking-Diagrams-Benchmarking/BESSER-Dataset/Dataset
Total models      : 5410
Training set      : 3361 models  (62.1%)
Validation set    : 2049 models  (37.9%)

Category                         Total   Train     Val   Train%
-----------------------------------------------------------------
abstractstatemachine                 2       1       1    50.0%
accounting                           6       4       2    66.7%
activities                          12       8       4    66.7%
addressbook                          8       5       3    62.5%
addressbook-veterinary               1       1       0   100.0%
agentmodelling                       4       2       2    50.0%
app                                 16      10       6    62.5%
architecture                        30      17      13    56.7%
arguments                            2       1       1    50.0%
aspects                              1       1       0   100.0%
automata                            21      11      10    52.4%
bank                                 2       1       1    50.0%
base                                 1       1       0   100.0%
behaviourmodelling                   7       5       2    71.4%
bibliography                        11       6       5    54.5%
blockchain                           1       1       0   100.0%
bookings                             1       1       0   100.0%
books                               30      18      12    60.0%
budget                               1       1       0   100.0%
businessanalytics                    2       1       1    50.0%
businessprocess                      9       5       4    55.6%
businessrules                        1       1       0   100.0%
calculator                          23      14       9    60.9%
cfg                                  1       1       0   100.0%
chatbot                              2       1       1    50.0%
circuits                             3       2       1    66.7%
class-diagram                      180     114      66    63.3%
cloud                               17      10       7    58.8%
cms                                  1       1       0   100.0%
codereview                           4       2       2    50.0%
color                                8       5       3    62.5%
coloured-petrinet                    1       1       0   100.0%
company                             74      46      28    62.2%
components                          42      25      17    59.5%
conference                           2       1       1    50.0%
configuration                        9       6       3    66.7%
constraints                         56      35      21    62.5%
constraintsolving                    1       1       0   100.0%
controlflow                          5       3       2    60.0%
cps                                  1       1       0   100.0%
cst                                  1       1       0   100.0%
customers                            1       1       0   100.0%
customerservice                      7       4       3    57.1%
dataexchange                         4       3       1    75.0%
dataflow                             4       2       2    50.0%
datagathering                        2       1       1    50.0%
datamodeling                         1       1       0   100.0%
db                                   2       1       1    50.0%
ddl                                  3       2       1    66.7%
decisiontree                         1       1       0   100.0%
delivery                             1       1       0   100.0%
dependencies                         2       1       1    50.0%
devices                              2       1       1    50.0%
devops                               5       3       2    60.0%
distributed                          5       3       2    60.0%
dml                                  1       1       0   100.0%
documentation                        1       1       0   100.0%
documents                            1       1       0   100.0%
drones                              18      11       7    61.1%
dummy                              719     474     245    65.9%
education                          107      67      40    62.6%
electricalengineering                7       4       3    57.1%
embedded                            13       7       6    53.8%
employees                           13       7       6    53.8%
enterprisearchitecture              32      18      14    56.2%
entities                            88      55      33    62.5%
epidemiology                         6       4       2    66.7%
er                                   9       6       3    66.7%
errors                               4       2       2    50.0%
etl                                  2       1       1    50.0%
eventprocessing                      6       3       3    50.0%
events                               3       2       1    66.7%
eventsytem                           2       1       1    50.0%
exhibitions                          8       5       3    62.5%
expressions                         43      25      18    58.1%
failures                             2       1       1    50.0%
families                           110      70      40    63.6%
fault-tree                          10       6       4    60.0%
features                            68      39      29    57.4%
files                                5       3       2    60.0%
films                                1       1       0   100.0%
